A,B,C,D,E,F,G,H,I,J,K,L,M,N,Z
42,"0,468858398707956",1,0,0,6,0,1,"0,24","0,2879","0,81",0,3,13,16
42,"0,894639115585266",1,1,0,6,0,1,"0,22","0,2727","0,8",0,8,32,40
42,"0,25139988825267",1,2,0,6,0,1,"0,22","0,2727","0,8",0,5,27,32
42,"0,393477406563625",1,3,0,6,0,1,"0,24","0,2879","0,75",0,3,10,13
42,"0,84136269557191",1,4,0,6,0,1,"0,24","0,2879","0,75",0,0,1,1
42,"0,616757169359223",1,5,0,6,0,2,"0,24","0,2576","0,75","0,0896",0,1,1
42,"0,979702437591963",1,6,0,6,0,1,"0,22","0,2727","0,8",0,2,0,2
42,"0,69563505184241",1,7,0,6,0,1,"0,2","0,2576","0,86",0,1,2,3
42,"0,663925473524369",1,8,0,6,0,1,"0,24","0,2879","0,75",0,1,7,8
42,"0,266913467152817",1,9,0,6,0,1,"0,32","0,3485","0,76",0,8,6,14
42,"0,174051992453562",1,10,0,6,0,1,"0,38","0,3939","0,76","0,2537",12,24,36
42,"0,229406018791065",1,11,0,6,0,1,"0,36","0,3333","0,81","0,2836",26,30,56
42,"0,516576859991488",1,12,0,6,0,1,"0,42","0,4242","0,77","0,2836",29,55,84
42,"0,940746830990394",1,13,0,6,0,2,"0,46","0,4545","0,72","0,2985",47,47,94
42,"0,510294794905864",1,14,0,6,0,2,"0,46","0,4545","0,72","0,2836",35,71,106
42,"0,209813310323609",1,15,0,6,0,2,"0,44","0,4394","0,77","0,2985",40,70,110
42,"0,0668692749366363",1,16,0,6,0,2,"0,42","0,4242","0,82","0,2985",41,52,93
42,"0,220873946031988",1,17,0,6,0,2,"0,44","0,4394","0,82","0,2836",15,52,67
42,"0,576232077094876",1,18,0,6,0,3,"0,42","0,4242","0,88","0,2537",9,26,35
42,"0,117782975717339",1,19,0,6,0,3,"0,42","0,4242","0,88","0,2537",6,31,37
42,"0,786519920159755",1,20,0,6,0,2,"0,4","0,4091","0,87","0,2537",11,25,36
42,"0,594579192991581",1,21,0,6,0,2,"0,4","0,4091","0,87","0,194",3,31,34
42,"0,462237411015711",1,22,0,6,0,2,"0,4","0,4091","0,94","0,2239",11,17,28
42,"0,194230487307138",1,23,0,6,0,2,"0,46","0,4545","0,88","0,2985",15,24,39
42,"0,72054458987985",1,0,0,0,0,2,"0,46","0,4545","0,88","0,2985",4,13,17
42,"0,730760805879406",1,1,0,0,0,2,"0,44","0,4394","0,94","0,2537",1,16,17
42,"0,890055995219359",1,2,0,0,0,2,"0,42","0,4242",1,"0,2836",1,8,9
42,"0,930528725363577",1,3,0,0,0,2,"0,46","0,4545","0,94","0,194",2,4,6
42,"0,634441213223136",1,4,0,0,0,2,"0,46","0,4545","0,94","0,194",2,1,3
42,"0,0609210446223456",1,6,0,0,0,3,"0,42","0,4242","0,77","0,2985",0,2,2
42,"0,261530665440684",1,7,0,0,0,2,"0,4","0,4091","0,76","0,194",0,1,1
42,"0,665555265290167",1,8,0,0,0,3,"0,4","0,4091","0,71","0,2239",0,8,8
42,"0,446115943086576",1,9,0,0,0,2,"0,38","0,3939","0,76","0,2239",1,19,20
42,"0,552955834116488",1,10,0,0,0,2,"0,36","0,3485","0,81","0,2239",7,46,53
42,"0,663521103083199",1,11,0,0,0,2,"0,36","0,3333","0,71","0,2537",16,54,70
42,"0,80213351212964",1,12,0,0,0,2,"0,36","0,3333","0,66","0,2985",20,73,93
42,"0,402935469403548",1,13,0,0,0,2,"0,36","0,3485","0,66","0,1343",11,64,75
42,"0,0105615787975531",1,14,0,0,0,3,"0,36","0,3485","0,76","0,194",4,55,59
42,"0,507785640253683",1,15,0,0,0,3,"0,34","0,3333","0,81","0,1642",19,55,74
42,"0,0464256474346977",1,16,0,0,0,3,"0,34","0,3333","0,71","0,1642",9,67,76
42,"0,772494737122924",1,17,0,0,0,1,"0,34","0,3333","0,57","0,194",7,58,65
42,"0,826447630766644",1,18,0,0,0,2,"0,36","0,3333","0,46","0,3284",10,43,53
42,"0,342710680997841",1,19,0,0,0,1,"0,32","0,2879","0,42","0,4478",1,29,30
42,"0,962192144011904",1,20,0,0,0,1,"0,3","0,2727","0,39","0,3582",5,17,22
42,"0,990789207900483",1,21,0,0,0,1,"0,26","0,2273","0,44","0,3284",11,20,31
42,"0,832696223231482",1,22,0,0,0,1,"0,24","0,2121","0,44","0,2985",0,9,9
42,"0,250463685956179",1,23,0,0,0,1,"0,22","0,2273","0,47","0,1642",0,8,8
42,"0,0889753678185111",1,0,0,1,1,1,"0,22","0,197","0,44","0,3582",0,5,5
42,"0,202292025237002",1,1,0,1,1,1,"0,2","0,1667","0,44","0,4179",0,2,2
42,"0,882006934505233",1,4,0,1,1,1,"0,16","0,1364","0,47","0,3881",0,1,1
42,"0,0325287985863422",1,5,0,1,1,1,"0,16","0,1364","0,47","0,2836",0,3,3
42,"0,225348454406358",1,6,0,1,1,1,"0,14","0,1061","0,5","0,3881",0,30,30
42,"0,0419690877652642",1,7,0,1,1,1,"0,14","0,1364","0,5","0,194",1,63,64
42,"0,328892104052592",1,8,0,1,1,1,"0,14","0,1212","0,5","0,2836",1,153,154
42,"0,146691031048874",1,9,0,1,1,1,"0,16","0,1364","0,43","0,3881",7,81,88
42,"0,28666673495733",1,10,0,1,1,1,"0,18","0,1667","0,43","0,2537",11,33,44
42,"0,648680408530024",1,11,0,1,1,1,"0,2","0,1818","0,4","0,3284",10,41,51
42,"0,513839981438438",1,12,0,1,1,1,"0,22","0,2121","0,35","0,2985",13,48,61
42,"0,31652450091844",1,13,0,1,1,1,"0,24","0,2121","0,35","0,2836",8,53,61
42,"0,666932191838573",1,14,0,1,1,1,"0,26","0,2424","0,3","0,2836",11,66,77
42,"0,883189548031864",1,15,0,1,1,1,"0,26","0,2424","0,3","0,2537",14,58,72
42,"0,896395640545876",1,16,0,1,1,1,"0,26","0,2424","0,3","0,2537",9,67,76
42,"0,0657435839489874",1,17,0,1,1,1,"0,24","0,2273","0,3","0,2239",11,146,157
42,"0,152820189469057",1,18,0,1,1,1,"0,24","0,2576","0,32","0,1045",9,148,157
42,"0,535823954772053",1,19,0,1,1,1,"0,2","0,2576","0,47",0,8,102,110
42,"0,678732985379887",1,20,0,1,1,1,"0,2","0,2273","0,47","0,1045",3,49,52
42,"0,361357580941183",1,21,0,1,1,1,"0,18","0,197","0,64","0,1343",3,49,52
42,"0,354092737699619",1,22,0,1,1,1,"0,14","0,1515","0,69","0,1343",0,20,20
42,"0,907366018595502",1,23,0,1,1,1,"0,18","0,2121","0,55","0,1045",1,11,12
42,"0,365534648479291",1,0,0,2,1,1,"0,16","0,1818","0,55","0,1045",0,5,5
42,"0,917372751965205",1,1,0,2,1,1,"0,16","0,1818","0,59","0,1045",0,2,2
42,"0,395632970776349",1,2,0,2,1,1,"0,14","0,1515","0,63","0,1343",0,1,1
42,"0,410177304326431",1,4,0,2,1,1,"0,14","0,1818","0,63","0,0896",0,2,2
42,"0,044237474005057",1,5,0,2,1,1,"0,12","0,1515","0,68","0,1045",0,4,4
42,"0,669345555497603",1,6,0,2,1,1,"0,12","0,1515","0,74","0,1045",0,36,36
42,"0,339256975589985",1,7,0,2,1,1,"0,12","0,1515","0,74","0,1343",2,92,94
42,"0,706605504070562",1,8,0,2,1,1,"0,14","0,1515","0,69","0,1642",2,177,179
42,"0,480655828337455",1,9,0,2,1,1,"0,16","0,1515","0,64","0,2239",2,98,100
42,"0,445882434945793",1,10,0,2,1,2,"0,16","0,1364","0,69","0,3284",5,37,42
42,"0,252823478885219",1,11,0,2,1,1,"0,22","0,2121","0,51","0,2985",7,50,57
42,"0,717685982072527",1,12,0,2,1,1,"0,22","0,2273","0,51","0,1642",12,66,78
42,"0,902501076959953",1,13,0,2,1,1,"0,24","0,2273","0,56","0,194",18,79,97
42,"0,0588996936944919",1,14,0,2,1,1,"0,26","0,2576","0,52","0,2239",9,54,63
42,"0,396206171622988",1,15,0,2,1,1,"0,28","0,2727","0,52","0,2537",17,48,65
42,"0,376400230175494",1,16,0,2,1,1,"0,3","0,2879","0,49","0,2537",15,68,83
42,"0,909722785930014",1,17,0,2,1,1,"0,28","0,2727","0,48","0,2239",10,202,212
42,"0,730345719054393",1,18,0,2,1,1,"0,26","0,2576","0,48","0,194",3,179,182
42,"0,187736659782316",1,19,0,2,1,1,"0,24","0,2576","0,48","0,1045",2,110,112
42,"0,405537716322904",1,20,0,2,1,1,"0,24","0,2576","0,48","0,1045",1,53,54
42,"0,220633926264016",1,21,0,2,1,1,"0,22","0,2727","0,64",0,0,48,48
42,"0,0352003119642135",1,22,0,2,1,1,"0,22","0,2576","0,64","0,0896",1,34,35
42,"0,166750235623908",1,23,0,2,1,1,"0,2","0,2273","0,69","0,0896",2,9,11
42,"0,511603393464125",1,0,0,3,1,1,"0,2","0,2576","0,64",0,0,6,6
42,"0,227204698560975",1,1,0,3,1,1,"0,16","0,197","0,74","0,0896",0,6,6
42,"0,400799334350752",1,2,0,3,1,1,"0,16","0,197","0,74","0,0896",0,2,2
42,"0,746147473094147",1,4,0,3,1,1,"0,24","0,2273","0,48","0,2239",0,2,2
42,"0,246146275527346",1,5,0,3,1,1,"0,22","0,2273","0,47","0,1642",0,3,3
42,"0,285356681466925",1,6,0,3,1,1,"0,2","0,197","0,47","0,2239",0,33,33
42,"0,820363579441877",1,7,0,3,1,1,"0,18","0,1818","0,43","0,194",1,87,88
42,"0,0234095417831391",1,8,0,3,1,1,"0,2","0,1818","0,4","0,2985",3,192,195
42,"0,354724041860281",1,9,0,3,1,1,"0,22","0,197","0,37","0,3284",6,109,115
42,"0,0706979821190974",1,10,0,3,1,1,"0,22","0,197","0,37","0,3284",4,53,57
42,"0,825473404170742",1,11,0,3,1,1,"0,26","0,2273","0,33","0,3284",12,34,46
42,"0,687868862999864",1,12,0,3,1,1,"0,26","0,2273","0,33","0,3284",5,74,79
42,"0,458888938698929",1,13,0,3,1,1,"0,28","0,2576","0,3","0,2985",6,65,71
42,"0,611321342233897",1,14,0,3,1,1,"0,3","0,2879","0,28","0,194",10,52,62
42,"0,79896967590316",1,15,0,3,1,1,"0,3","0,2879","0,28","0,194",7,55,62
42,"0,149652244273674",1,16,0,3,1,1,"0,3","0,3182","0,28","0,0896",4,85,89
42,"0,425348349895742",1,17,0,3,1,1,"0,24","0,2273","0,38","0,194",4,186,190
42,"0,883106012616652",1,18,0,3,1,1,"0,24","0,2424","0,38","0,1343",3,166,169
42,"0,17403238253743",1,19,0,3,1,1,"0,24","0,2576","0,38","0,1045",5,127,132
42,"0,724246902291657",1,20,0,3,1,1,"0,22","0,2273","0,47","0,1642",7,82,89
42,"0,957581733334344",1,21,0,3,1,1,"0,2","0,197","0,51","0,194",3,40,43
42,"0,017630716395857",1,22,0,3,1,1,"0,18","0,197","0,55","0,1343",1,41,42
42,"0,176887317715632",1,23,0,3,1,1,"0,2","0,2576","0,47",0,1,18,19
42,"0,224508569518623",1,0,0,4,1,1,"0,18","0,2424","0,55",0,0,11,11
42,"0,116451064525298",1,1,0,4,1,1,"0,16","0,2273","0,64",0,0,4,4
42,"0,182444278563327",1,2,0,4,1,1,"0,16","0,2273","0,64",0,0,2,2
42,"0,52756254663165",1,4,0,4,1,2,"0,16","0,197","0,64","0,0896",0,1,1
42,"0,392996025402817",1,5,0,4,1,2,"0,14","0,1818","0,69","0,0896",0,4,4
42,"0,813538037466871",1,6,0,4,1,2,"0,14","0,1667","0,63","0,1045",0,36,36
42,"0,864968853847414",1,7,0,4,1,2,"0,16","0,2273","0,59",0,0,95,95
42,"0,851149437858452",1,8,0,4,1,1,"0,16","0,2273","0,59",0,3,216,219
42,"0,0350623866125906",1,9,0,4,1,2,"0,18","0,2424","0,51",0,6,116,122
42,"0,623387534148432",1,10,0,4,1,1,"0,2","0,2576","0,47",0,3,42,45
42,"0,988847004982686",1,11,0,4,1,1,"0,22","0,2576","0,44","0,0896",2,57,59
42,"0,596243772483535",1,12,0,4,1,1,"0,26","0,2879","0,35",0,6,78,84
42,"0,776790531849495",1,13,0,4,1,1,"0,26","0,2727","0,35","0,1045",12,55,67
42,"0,602619850721225",1,14,0,4,1,1,"0,28","0,2727","0,36","0,1642",11,59,70
